platform,genre,mode,group,type
pc,rpg,online,production,technical
pc,rpg,online,production,testing
pc,rpg,online,management-people,team
pc,rpg,online,management-feature,scope
pc,strategy,online single,production,technical
pc,strategy,online single,management-people,team
pc,strategy,multi single,management-feature,cutting-features
mobile pc,adventure,single,production,design
mobile pc,adventure,single,production,technical
mobile pc,adventure,single,management-people,communication
mobile pc,adventure,single,management-feature,cutting-features
pc,action puzzle simulation,single,management-people,crunch-time
pc,action puzzle simulation,single,management-feature,scope
pc,action puzzle simulation,single,management-feature,feature-creep
pc,action puzzle simulation,single,management-feature,planning
pc,action puzzle simulation,single,business,marketing
console,platformer,single,production,technical
console,platformer,single,management-people,team
console,platformer,single,management-feature,feature-creep
console,platformer,single,management-feature,cutting-features
console,platformer,single,management-feature,multiple-projects
pc,shooter,online single,production,design
pc,shooter,online single,management-people,communication
pc,shooter,online single,management-people,team
pc,shooter,online single,management-feature,planning
pc,action adventure,multi single,production,design
pc,action adventure,multi single,production,technical
pc,action adventure,multi single,production,testing
pc,action adventure,multi single,management-feature,planning
pc,action strategy,online,production,design
pc,action strategy,online,production,technical
pc,action strategy,online,production,testing
pc,action strategy,online,management-people,communication
pc,shooter simulation,multi single,production,design
pc,shooter simulation,multi single,production,documentation
pc,shooter simulation,multi single,management-people,crunch-time
pc,shooter simulation,multi single,management-feature,scope
pc,shooter simulation,multi single,management-feature,planning
pc,action adventure,online single,production,documentation
pc,action adventure,online single,production,tools
pc,action adventure,online single,production,bugs
pc,action adventure,online single,business,marketing
pc,shooter,multi single,production,design
pc,shooter,multi single,production,tools
pc,shooter,multi single,production,technical
pc,shooter,multi single,management-people,team
pc,shooter simulation strategy,multi single,management-people,team
pc,shooter simulation strategy,multi single,management-feature,cutting-features
pc,shooter simulation strategy,multi single,business,marketing
pc,adventure puzzle,single,production,design
pc,adventure puzzle,single,production,tools
pc,adventure puzzle,single,production,technical
pc,adventure puzzle,single,management-people,communication
pc,adventure puzzle,single,management-feature,feature-creep
pc,adventure puzzle,single,management-feature,cutting-features
pc,adventure puzzle,single,management-feature,multiple-projects
pc,adventure puzzle,single,management-feature,planning
pc,simulation strategy,multi single,production,design
pc,simulation strategy,multi single,production,documentation
pc,simulation strategy,multi single,management-people,team
pc,simulation strategy,multi single,management-feature,feature-creep
pc,simulation strategy,multi single,management-feature,multiple-projects
pc,shooter,multi single,production,design
pc,shooter,multi single,production,tools
pc,shooter,multi single,production,technical
pc,shooter,multi single,production,testing
pc,shooter,multi single,management-people,delays
pc,shooter,multi single,management-people,communication
pc,shooter,multi single,management-people,team
pc,shooter,multi single,management-feature,planning
console pc,simulation,single,production,technical
console pc,simulation,single,management-people,crunch-time
console pc,simulation,single,management-people,communication
console pc,simulation,single,management-feature,scope
console pc,simulation,single,management-feature,planning
pc,puzzle roguelike,single,production,design
pc,puzzle roguelike,single,production,tools
pc,puzzle roguelike,single,production,technical
pc,puzzle roguelike,single,management-feature,budget
pc,puzzle roguelike,single,management-feature,planning
pc,adventure shooter,single,production,design
pc,adventure shooter,single,production,tools
pc,adventure shooter,single,production,technical
mobile,racing,multi single,production,tools
mobile,racing,multi single,production,bugs
console pc,strategy,multi single,production,tools
console pc,strategy,multi single,production,technical
console pc,strategy,multi single,production,testing
console pc,strategy,multi single,management-feature,security
pc,strategy,single,production,documentation
pc,strategy,single,production,technical
pc,strategy,single,management-people,delays
pc,strategy,single,management-feature,feature-creep
pc,strategy,single,management-feature,cutting-features
pc,strategy,single,management-feature,planning
console pc,action shooter,multi single,production,technical
console pc,action shooter,multi single,production,prototyping
console pc,action shooter,multi single,management-people,communication
console pc,action shooter,multi single,management-people,team
console pc,action shooter,multi single,management-feature,scope
pc,adventure rpg,multi single,production,design
pc,adventure rpg,multi single,production,tools
pc,adventure rpg,multi single,production,technical
pc,adventure rpg,multi single,production,testing
console,action,single,production,tools
console,action,single,production,technical
console,action,single,management-people,communication
console,action,single,management-feature,cutting-features
console,action,single,management-feature,planning
console,action,single,business,marketing
pc,adventure,single,production,tools
pc,adventure,single,production,technical
pc,adventure,single,management-people,crunch-time
pc,adventure,single,management-people,team
pc,adventure,single,management-feature,multiple-projects
pc,adventure,single,management-feature,planning
pc,action,single,production,design
pc,action,single,production,tools
pc,action,single,management-people,crunch-time
pc,action,single,management-people,team
pc,action,single,management-feature,feature-creep
pc,action,single,management-feature,cutting-features
pc,action,single,management-feature,planning
pc,action,single,business,marketing
